DateTime,"(mm) Precipitation (gridMET) at -107.0671E,38.9968N, 2015-06-01 to 2020-10-01"
6/1/15,2.1848
6/2/15,0
6/3/15,0
6/4/15,0
6/5/15,0.9153
6/6/15,0.4429
6/7/15,3.1788
6/8/15,0.4133
6/9/15,0.6987
6/10/15,4.7436
6/11/15,9.2903
6/12/15,1.9683
6/13/15,3.1394
6/14/15,1.7616
6/15/15,1.8699
6/16/15,12.8234
6/17/15,0.5314
6/18/15,0.2559
6/19/15,0.7775
6/20/15,0
6/21/15,0
6/22/15,0
6/23/15,0
6/24/15,0
6/25/15,0
6/26/15,0
6/27/15,0
6/28/15,0
6/29/15,0
6/30/15,0
7/1/15,0
7/2/15,0
7/3/15,0.7972
7/4/15,6.7906
7/5/15,6.0328
7/6/15,7.2433
7/7/15,11.1996
7/8/15,14.0339
7/9/15,11.8294
7/10/15,1.7026
7/11/15,1.9781
7/12/15,2.0372
7/13/15,2.2734
7/14/15,10.7567
7/15/15,5.0487
7/16/15,5.0979
7/17/15,0.8464
7/18/15,0.807
7/19/15,0
7/20/15,6.4954
7/21/15,3.7791
7/22/15,5.9442
7/23/15,0
7/24/15,2.3324
7/25/15,7.637
7/26/15,0.2854
7/27/15,0
7/28/15,0
7/29/15,0
7/30/15,0
7/31/15,0
8/1/15,1.6238
8/2/15,3.6807
8/3/15,2.2045
8/4/15,8.2078
8/5/15,0
8/6/15,0
8/7/15,1.8896
8/8/15,1.3483
8/9/15,1.1416
8/10/15,1.7124
8/11/15,5.3341
8/12/15,2.0077
8/13/15,0
8/14/15,0
8/15/15,0
8/16/15,0.5413
8/17/15,3.6905
8/18/15,5.0782
8/19/15,0
8/20/15,0
8/21/15,0
8/22/15,0
8/23/15,0
8/24/15,0
8/25/15,0
8/26/15,4.7633
8/27/15,22.8322
8/28/15,5.9541
8/29/15,0
8/30/15,0.9546
8/31/15,0.3641
9/1/15,1.8207
9/2/15,0
9/3/15,9.6643
9/4/15,12.4691
9/5/15,6.1607
9/6/15,2.5785
9/7/15,0.994
9/8/15,6.8004
9/9/15,1.5943
9/10/15,0
9/11/15,0
9/12/15,0
9/13/15,0
9/14/15,3.1493
9/15/15,22.1236
9/16/15,3.6315
9/17/15,0
9/18/15,0
9/19/15,6.0525
9/20/15,0
9/21/15,1.6435
9/22/15,0
9/23/15,0
9/24/15,0
9/25/15,0
9/26/15,0
9/27/15,0
9/28/15,1.6632
9/29/15,0
9/30/15,0
10/1/15,2.2734
10/2/15,0.5216
10/3/15,0
10/4/15,2.3226
10/5/15,5.1274
10/6/15,4.5566
10/7/15,0
10/8/15,0
10/9/15,0
10/10/15,0
10/11/15,0
10/12/15,0
10/13/15,0
10/14/15,0
10/15/15,0
10/16/15,0
10/17/15,2.2438
10/18/15,2.4899
10/19/15,8.0601
10/20/15,7.3516
10/21/15,0.3444
10/22/15,11.672
10/23/15,0.8267
10/24/15,2.3226
10/25/15,2.2635
10/26/15,2.3127
10/27/15,0.9349
10/28/15,7.7452
10/29/15,2.5981
10/30/15,0.374
10/31/15,0
11/1/15,0
11/2/15,0
11/3/15,1.7026
11/4/15,9.743
11/5/15,4.6156
11/6/15,7.2039
11/7/15,5.7376
11/8/15,0
11/9/15,4.4483
11/10/15,5.4226
11/11/15,0
11/12/15,0
11/13/15,1.9486
11/14/15,0.3444
11/15/15,5.1766
11/16/15,10.0383
11/17/15,2.175
11/18/15,8.5227
11/19/15,0
11/20/15,3.1296
11/21/15,0
11/22/15,0
11/23/15,0
11/24/15,0
11/25/15,0
11/26/15,0
11/27/15,6.8693
11/28/15,0
11/29/15,1.9781
11/30/15,0
12/1/15,0
12/2/15,3.4543
12/3/15,2.3619
12/4/15,6.515
12/5/15,0.2952
12/6/15,4.1531
12/7/15,6.21
12/8/15,0
12/9/15,0.5806
12/10/15,0
12/11/15,1.6632
12/12/15,1.0235
12/13/15,2.0667
12/14/15,5.8753
12/15/15,0.6299
12/16/15,4.3696
12/17/15,0.6299
12/18/15,4.2417
12/19/15,6.7217
12/20/15,14.2504
12/21/15,20.2242
12/22/15,14.4177
12/23/15,1.3188
12/24/15,6.515
12/25/15,12.7447
12/26/15,2.175
12/27/15,6.3871
12/28/15,2.0175
12/29/15,0.5019
12/30/15,1.1318
12/31/15,1.828
1/1/16,1.8286
1/2/16,5.5941
1/3/16,1.8286
1/4/16,1.7947
1/5/16,1.8353
1/6/16,1.341
1/7/16,0
1/8/16,0
1/9/16,0
1/10/16,0
1/11/16,0
1/12/16,0
1/13/16,1.815
1/14/16,1.964
1/15/16,1.9708
1/16/16,6.9486
1/17/16,1.964
1/18/16,5.4789
1/19/16,2.0114
1/20/16,3.1357
1/21/16,1.8692
1/22/16,3.6775
1/23/16,1.8963
1/24/16,0.9075
1/25/16,0
1/26/16,1.9505
1/27/16,3.6368
1/28/16,3.6707
1/29/16,3.6978
1/30/16,8.3031
1/31/16,15.1625
2/1/16,0
2/2/16,0
2/3/16,2.8109
2/4/16,0
2/5/16,0
2/6/16,0.4104
2/7/16,13.4133
2/8/16,0
2/9/16,0
2/10/16,7.3176
2/11/16,14.6707
2/12/16,3.5503
2/13/16,0
2/14/16,0
2/15/16,0
